ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m203,Kenya,courtship,botflank,Stem1,own,4.024578641,13.763206
m203,Kenya,courtship,botflank,Stem2,own,4.579656399,4.7935505
m20b,Kenya,courtship,botflank,Leaf_B1,own,6.781531976,19.1528623
m20b,Kenya,courtship,botflank,Leaf_B2,own,5.937291432,20.4715696
m20b,Kenya,courtship,botflank,Leaf_T1,own,3.483799192,34.8067088
m20b,Kenya,courtship,botflank,Leaf_T2,own,5.484832695,35.8825177
m20b,Kenya,courtship,botflank,Stem1,own,6.034135325,29.7214074
m20b,Kenya,courtship,botflank,Stem2,own,6.0918679,20.7517519
m211,Kenya,courtship,botflank,Leaf_B1,own,5.900006311,11.3274101
m211,Kenya,courtship,botflank,Leaf_B2,own,5.104906032,12.6461174
m211,Kenya,courtship,botflank,Leaf_T1,own,3.171727444,26.9812567
m211,Kenya,courtship,botflank,Leaf_T2,own,4.645426728,28.0570655
m211,Kenya,courtship,botflank,Stem1,own,4.871194043,21.8959552
m211,Kenya,courtship,botflank,Stem2,own,4.979112472,12.9262997
m212,Kenya,courtship,botflank,Leaf_B1,own,1.739965941,8.8740317
m212,Kenya,courtship,botflank,Leaf_B2,own,0.990556727,10.192739
m212,Kenya,courtship,botflank,Leaf_T1,own,2.838027189,24.5278783
m212,Kenya,courtship,botflank,Leaf_T2,own,0.896504141,25.6036871
m212,Kenya,courtship,botflank,Stem1,own,1.48186068,19.4425768
m212,Kenya,courtship,botflank,Stem2,own,2.21633474,10.4729213
m22a,Kenya,courtship,botflank,Leaf_B1,own,2.254904064,12.7446404
m22a,Kenya,courtship,botflank,Leaf_B2,own,1.549145755,14.0633478
m22a,Kenya,courtship,botflank,Leaf_T1,own,2.808478423,28.398487
m22a,Kenya,courtship,botflank,Leaf_T2,own,1.368160352,29.4742959
m22a,Kenya,courtship,botflank,Stem1,own,1.443689507,23.3131855
m22a,Kenya,courtship,botflank,Stem2,own,2.078197746,14.3435301
m28a,Kenya,courtship,botflank,Leaf_B1,own,6.31583359,13.2331487
m28a,Kenya,courtship,botflank,Leaf_B2,own,5.494721694,14.5518561
m28a,Kenya,courtship,botflank,Leaf_T1,own,3.951572586,28.8869953
m28a,Kenya,courtship,botflank,Leaf_T2,own,5.176024896,29.9628041
m28a,Kenya,courtship,botflank,Stem1,own,5.127000301,23.8016938
m28a,Kenya,courtship,botflank,Stem2,own,4.959786921,14.8320383
m32a,Kenya,courtship,botflank,Leaf_B1,own,5.013702105,11.9071846
m32a,Kenya,courtship,botflank,Leaf_B2,own,4.176209551,13.225892
m32a,Kenya,courtship,botflank,Leaf_T1,own,2.719016321,27.5610312
m32a,Kenya,courtship,botflank,Leaf_T2,own,3.832846135,28.6368401
m32a,Kenya,courtship,botflank,Stem1,own,4.067378265,22.4757297
m32a,Kenya,courtship,botflank,Stem2,own,4.075669394,13.5060743
m52,Kenya,courtship,botflank,Leaf_B1,own,2.61299747,19.9575867
m52,Kenya,courtship,botflank,Leaf_B2,own,1.898845921,21.276294
m52,Kenya,courtship,botflank,Leaf_T1,own,1.450236141,35.6114333
m52,Kenya,courtship,botflank,Leaf_T2,own,1.229722818,36.6872421
m52,Kenya,courtship,botflank,Stem1,own,2.881638078,30.5261318
m52,Kenya,courtship,botflank,Stem2,own,3.62610126,21.5564763
m52a,Kenya,courtship,botflank,Leaf_B1,own,6.959866566,18.6001638
m52a,Kenya,courtship,botflank,Leaf_B2,own,6.110214228,19.9188712
m52a,Kenya,courtship,botflank,Leaf_T1,own,3.828943829,34.2540104
m52a,Kenya,courtship,botflank,Leaf_T2,own,5.697834224,35.3298193
m52a,Kenya,courtship,botflank,Stem1,own,6.114650784,29.1687089
m52a,Kenya,courtship,botflank,Stem2,own,6.089764712,20.1990534
m55c,Kenya,courtship,botflank,Leaf_B1,own,2.299900672,16.3275714
m55c,Kenya,courtship,botflank,Leaf_B2,own,1.570550836,17.6462787
m55c,Kenya,courtship,botflank,Leaf_T1,own,1.736017976,31.981418
m55c,Kenya,courtship,botflank,Leaf_T2,own,1.040290661,33.0572268
m55c,Kenya,courtship,botflank,Stem1,own,2.930687428,26.8961165
m55c,Kenya,courtship,botflank,Stem2,own,3.628161159,17.926461
m56a,Kenya,courtship,botflank,Leaf_B1,own,0.429001344,14.8388918
m56a,Kenya,courtship,botflank,Leaf_B2,own,0.826898783,16.1575992
m56a,Kenya,courtship,botflank,Leaf_T1,own,3.694334012,30.4927384
m56a,Kenya,courtship,botflank,Leaf_T2,own,1.162589393,31.5685472
m56a,Kenya,courtship,botflank,Stem1,own,2.346774631,25.4074369
m56a,Kenya,courtship,botflank,Stem2,own,3.222839677,16.4377814
m56c,Kenya,courtship,botflank,Leaf_B1,own,6.516256899,15.342155
m56c,Kenya,courtship,botflank,Leaf_B2,own,5.684627154,16.6608624
m56c,Kenya,courtship,botflank,Leaf_T1,own,2.905750696,30.9960016
m56c,Kenya,courtship,botflank,Leaf_T2,own,5.176288075,32.0718105
m56c,Kenya,courtship,botflank,Stem1,own,6.017471333,25.9107001
m56c,Kenya,courtship,botflank,Stem2,own,6.208638473,16.9410447
m63b,Kenya,courtship,botflank,Leaf_B1,own,3.415647633,23.5443272
m63b,Kenya,courtship,botflank,Leaf_B2,own,2.584311079,24.8630346
m63b,Kenya,courtship,botflank,Leaf_T1,own,1.205195981,39.1981738
m63b,Kenya,courtship,botflank,Leaf_T2,own,2.09966417,40.2739827
m63b,Kenya,courtship,botflank,Stem1,own,3.257870079,34.1128723
m63b,Kenya,courtship,botflank,Stem2,own,3.708888261,25.1432169
m64,Kenya,courtship,botflank,Leaf_B1,own,4.371529314,16.5081248
m64,Kenya,courtship,botflank,Leaf_B2,own,3.524296606,17.8268321
m64,Kenya,courtship,botflank,Leaf_T1,own,1.99590604,32.1619714
m64,Kenya,courtship,botflank,Leaf_T2,own,3.134454005,33.2377802
m64,Kenya,courtship,botflank,Stem1,own,3.691950506,27.0766699
m64,Kenya,courtship,botflank,Stem2,own,3.864897697,18.1070144
m64,Kenya,courtship,botflank,Leaf_B1,own,3.646694467,16.4345219
m64,Kenya,courtship,botflank,Leaf_B2,own,2.788604487,17.7532293
m64,Kenya,courtship,botflank,Leaf_T1,own,1.686143474,32.0883685
m64,Kenya,courtship,botflank,Leaf_T2,own,2.420149192,33.1641774
m64,Kenya,courtship,botflank,Stem1,own,3.233839714,27.0030671
m64,Kenya,courtship,botflank,Stem2,own,3.510813848,18.0334116
m64b,Kenya,courtship,botflank,Leaf_B1,own,6.276589127,21.6059792
m64b,Kenya,courtship,botflank,Leaf_B2,own,5.45765047,22.9246865
m64b,Kenya,courtship,botflank,Leaf_T1,own,3.148631871,37.2598257
m64b,Kenya,courtship,botflank,Leaf_T2,own,4.976147327,38.3356346
m64b,Kenya,courtship,botflank,Stem1,own,5.422924189,32.1745243
m64b,Kenya,courtship,botflank,Stem2,own,5.544370954,23.2048688
m74a,Kenya,courtship,botflank,Leaf_B1,own,4.819712673,19.2345793
m74a,Kenya,courtship,botflank,Leaf_B2,own,3.955103461,20.5532866
m74a,Kenya,courtship,botflank,Leaf_T1,own,2.447237273,34.8884259
m74a,Kenya,courtship,botflank,Leaf_T2,own,3.655143359,35.9642347
m74a,Kenya,courtship,botflank,Stem1,own,4.165701648,29.8031244
m74a,Kenya,courtship,botflank,Stem2,own,4.174677572,20.8334689
m74b,Kenya,courtship,botflank,Leaf_B1,own,5.459794374,16.0897813
m74b,Kenya,courtship,botflank,Leaf_B2,own,4.617444281,17.4084886
m74b,Kenya,courtship,botflank,Leaf_T1,own,2.338061658,31.7436278
m74b,Kenya,courtship,botflank,Leaf_T2,own,4.261205386,32.8194367
m74b,Kenya,courtship,botflank,Stem1,own,5.345882331,26.6583264
m74b,Kenya,courtship,botflank,Stem2,own,5.483693591,17.6886709
m74b,Kenya,courtship,botflank,Leaf_B1,own,4.484193944,14.6676973
m74b,Kenya,courtship,botflank,Leaf_B2,own,3.63443729,15.9864047
m74b,Kenya,courtship,botflank,Leaf_T1,own,1.526605703,30.3215439
m74b,Kenya,courtship,botflank,Leaf_T2,own,3.231785932,31.3973528
m74b,Kenya,courtship,botflank,Stem1,own,4.304145228,25.2362424
m74b,Kenya,courtship,botflank,Stem2,own,4.548503959,16.266587
m7a,Kenya,courtship,botflank,Leaf_B1,own,2.890078944,11.1582073
m7a,Kenya,courtship,botflank,Leaf_B2,own,2.240298012,12.4769146
m7a,Kenya,courtship,botflank,Leaf_T1,own,1.239578988,26.8120539
m7a,Kenya,courtship,botflank,Leaf_T2,own,1.648948154,27.8878627
m7a,Kenya,courtship,botflank,Stem1,own,3.591224358,21.7267524
m7a,Kenya,courtship,botflank,Stem2,own,4.308012906,12.7570969
m7c,Kenya,courtship,botflank,Leaf_B1,own,2.991579938,6.4658566
m7c,Kenya,courtship,botflank,Leaf_B2,own,2.162462993,7.7845639
m7c,Kenya,courtship,botflank,Leaf_T1,own,1.369146108,22.1197032
m7c,Kenya,courtship,botflank,Leaf_T2,own,1.685725955,23.195512
m7c,Kenya,courtship,botflank,Stem1,own,2.98816982,17.0344017
m7c,Kenya,courtship,botflank,Stem2,own,3.502402343,8.0647462
m8,Kenya,courtship,botflank,Leaf_B1,own,2.346134402,11.0194763
m8,Kenya,courtship,botflank,Leaf_B2,own,1.678406076,12.3381837
m8,Kenya,courtship,botflank,Leaf_T1,own,3.369012365,26.6733229
m8,Kenya,courtship,botflank,Leaf_T2,own,1.83312374,27.7491318
m8,Kenya,courtship,botflank,Stem1,own,1.27389757,21.5880214
m8,Kenya,courtship,botflank,Stem2,own,1.48912486,12.618366
m8a,Kenya,courtship,botflank,Leaf_B1,own,5.193280608,17.5042451
m8a,Kenya,courtship,botflank,Leaf_B2,own,4.386654181,18.8229525
m8a,Kenya,courtship,botflank,Leaf_T1,own,1.647746663,33.1580917
m8a,Kenya,courtship,botflank,Leaf_T2,own,3.830502021,34.2339005
m8a,Kenya,courtship,botflank,Stem1,own,4.798435608,28.0727902
m8a,Kenya,courtship,botflank,Stem2,own,5.147175652,19.1031347
m8a,Kenya,courtship,botflank,Leaf_B1,own,8.140501854,16.676576
m8a,Kenya,courtship,botflank,Leaf_B2,own,7.329956598,17.9952833
m8a,Kenya,courtship,botflank,Leaf_T1,own,4.366801503,32.3304225
m8a,Kenya,courtship,botflank,Leaf_T2,own,6.774546002,33.4062314
m8a,Kenya,courtship,botflank,Stem1,own,7.607234441,27.2451211
m8a,Kenya,courtship,botflank,Stem2,own,7.809184677,18.2754656
m8c,Kenya,courtship,botflank,Leaf_B1,own,5.807894293,13.9861327
m8c,Kenya,courtship,botflank,Leaf_B2,own,4.9843562,15.30484
m8c,Kenya,courtship,botflank,Leaf_T1,own,2.125814935,29.6399792
m8c,Kenya,courtship,botflank,Leaf_T2,own,4.498333534,30.7157881
m8c,Kenya,courtship,botflank,Stem1,own,5.666898081,24.5546778
m8c,Kenya,courtship,botflank,Stem2,own,5.930634999,15.5850223
X29a,Kenya,courtship,botflank,Leaf_B1,own,4.134333335,16.0791134
X29a,Kenya,courtship,botflank,Leaf_B2,own,3.268021362,17.3978207
X29a,Kenya,courtship,botflank,Leaf_T1,own,1.98112696,31.7329599
X29a,Kenya,courtship,botflank,Leaf_T2,own,2.985223255,32.8087688
X29a,Kenya,courtship,botflank,Stem1,own,3.794396889,26.6476585
X29a,Kenya,courtship,botflank,Stem2,own,3.920497961,17.678003
m101,Hawaii,courtship,botflank,Leaf_B1,other,1.301326377,11.9519209
m101,Hawaii,courtship,botflank,Leaf_B2,other,0.872039469,13.2706283
m101,Hawaii,courtship,botflank,Leaf_T1,other,3.05988946,27.6057675
m101,Hawaii,courtship,botflank,Leaf_T2,other,0.631179273,28.6815764
