ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m24b,Kenya,display,botflank,Leaf_B1,own,6.788464624,12.6666617
m24b,Kenya,display,botflank,Leaf_B2,own,5.957334099,13.985369
m24b,Kenya,display,botflank,Leaf_T1,own,3.647131073,28.3205082
m24b,Kenya,display,botflank,Leaf_T2,own,5.503486996,29.3963171
m24b,Kenya,display,botflank,Stem1,own,5.898621886,23.2352068
m24b,Kenya,display,botflank,Stem2,own,5.94193687,14.2655513
m28a,Kenya,display,botflank,Leaf_B1,own,4.154413082,19.3080081
m28a,Kenya,display,botflank,Leaf_B2,own,3.426402281,20.6267155
m28a,Kenya,display,botflank,Leaf_T1,own,3.084890764,34.9618547
m28a,Kenya,display,botflank,Leaf_T2,own,3.142440636,36.0376636
m28a,Kenya,display,botflank,Stem1,own,2.792234358,29.8765532
m28a,Kenya,display,botflank,Stem2,own,2.870908966,20.9068978
m52,Kenya,display,botflank,Leaf_B1,own,5.353021754,20.7716782
m52,Kenya,display,botflank,Leaf_B2,own,4.543170385,22.0903855
m52,Kenya,display,botflank,Leaf_T1,own,1.773551756,36.4255248
m52,Kenya,display,botflank,Leaf_T2,own,3.991990275,37.5013336
m52,Kenya,display,botflank,Stem1,own,4.954058914,31.3402233
m52,Kenya,display,botflank,Stem2,own,5.284702916,22.3705678
m52,Kenya,display,botflank,Leaf_B1,own,8.285156085,26.4023411
m52,Kenya,display,botflank,Leaf_B2,own,7.456582781,27.7210484
m52,Kenya,display,botflank,Leaf_T1,own,4.55506964,42.0561877
m52,Kenya,display,botflank,Leaf_T2,own,6.936887626,43.1319965
m52,Kenya,display,botflank,Stem1,own,7.740696335,36.9708862
m52,Kenya,display,botflank,Stem2,own,7.878872679,28.0012307
m52a,Kenya,display,botflank,Leaf_B1,own,4.179982631,11.7958806
m52a,Kenya,display,botflank,Leaf_B2,own,3.358387948,13.114588
m52a,Kenya,display,botflank,Leaf_T1,own,2.231525549,27.4497272
m52a,Kenya,display,botflank,Leaf_T2,own,2.981608633,28.525536
m52a,Kenya,display,botflank,Stem1,own,3.303516089,22.3644257
m52a,Kenya,display,botflank,Stem2,own,3.481216533,13.3947702
m55c,Kenya,display,botflank,Leaf_B1,own,3.506568007,14.6649428
m55c,Kenya,display,botflank,Leaf_B2,own,2.663004878,15.9836501
m55c,Kenya,display,botflank,Leaf_T1,own,1.317770956,30.3187893
m55c,Kenya,display,botflank,Leaf_T2,own,2.216625329,31.3945982
m55c,Kenya,display,botflank,Stem1,own,3.290795365,25.2334879
m55c,Kenya,display,botflank,Stem2,own,3.686059254,16.2638324
m56c,Kenya,display,botflank,Leaf_B1,own,7.37165979,18.7101424
m56c,Kenya,display,botflank,Leaf_B2,own,6.532592503,20.0288498
m56c,Kenya,display,botflank,Leaf_T1,own,3.736691328,34.363989
m56c,Kenya,display,botflank,Leaf_T2,own,6.041593887,35.4397979
m56c,Kenya,display,botflank,Stem1,own,6.845636753,29.2786875
m56c,Kenya,display,botflank,Stem2,own,6.972080496,20.3090321
m56c,Kenya,display,botflank,Leaf_B1,own,7.227643984,19.2673374
m56c,Kenya,display,botflank,Leaf_B2,own,6.380926438,20.5860448
m56c,Kenya,display,botflank,Leaf_T1,own,3.630783722,34.921184
m56c,Kenya,display,botflank,Leaf_T2,own,5.921078058,35.9969929
m56c,Kenya,display,botflank,Stem1,own,6.781579951,29.8358825
m56c,Kenya,display,botflank,Stem2,own,6.884830697,20.8662271
m58,Kenya,display,botflank,Leaf_B1,own,5.364798316,15.6882382
m58,Kenya,display,botflank,Leaf_B2,own,4.521087849,17.0069455
m58,Kenya,display,botflank,Leaf_T1,own,2.454677823,31.3420847
m58,Kenya,display,botflank,Leaf_T2,own,4.094044771,32.4178936
m58,Kenya,display,botflank,Stem1,own,4.624276064,26.2567833
m58,Kenya,display,botflank,Stem2,own,4.737030389,17.2871278
m63a,Kenya,display,botflank,Leaf_B1,own,3.311737395,12.8715756
